Species;CD;DBH_class;Kfk;Btk;BranchBio;LeafBio
PIHA;CD10;10;0.43;11.17;5.70;1.5
PIHA;CD15;15;0.45;17.68;13.53;3.2
PIHA;CD20;20;0.40;24.07;24.26;5.2
PIHA;CD25;25;0.43;26.56;43.40;8.3
PIHA;CD30;30;0.43;29.67;62.69;11.5
PIHA;CD35;35;0.43;32.56;82.44;14.8
PIHA;CD40;40;0.43;34.84;106.60;18.3
PIHA;CD45;45;0.43;36.84;131.38;22.0
PIHA;CD50;50;0.43;38.64;155.72;25.9
PIHA;CD55;55;0.43;40.26;178.59;30.1
PIHA;CD60;60;0.43;41.74;198.93;34.5
PIHA;CD65;65;0.43;43.10;215.68;39.1
PIHA;CD70;70;0.43;44.37;227.81;43.9
PINI;CD10;10;0.41;13.07;3.86;1.4
PINI;CD15;15;0.42;19.06;10.04;3.1
PINI;CD20;20;0.42;23.89;20.36;5.7
PINI;CD25;25;0.42;28.60;30.73;8.0
PINI;CD30;30;0.44;33.47;31.71;8.2
PINI;CD35;35;0.42;34.04;66.86;14.7
PINI;CD40;40;0.42;36.31;78.16;17.4
PINI;CD45;45;0.42;38.31;100.41;21.5
PINI;CD50;50;0.42;40.11;125.63;25.9
PINI;CD55;55;0.42;41.73;153.86;30.8
PINI;CD60;60;0.42;43.21;185.14;35.9
PINI;CD65;65;0.42;44.57;219.50;41.5
PINI;CD70;70;0.42;45.83;256.97;47.4
PISY;CD10;10;0.40;9.68;6.73;2.3
PISY;CD15;15;0.40;14.44;12.08;3.6
PISY;CD20;20;0.40;19.27;20.63;5.7
PISY;CD25;25;0.39;22.83;39.54;8.8
PISY;CD30;30;0.37;26.10;55.19;12.4
PISY;CD35;35;0.39;28.50;78.35;15.0
PISY;CD40;40;0.39;30.22;110.22;17.6
PISY;CD45;45;0.39;32.02;135.61;21.6
PISY;CD50;50;0.39;33.64;160.89;25.9
PISY;CD55;55;0.39;35.09;185.17;30.6
PISY;CD60;60;0.39;36.43;207.54;35.5
PISY;CD65;65;0.39;37.65;227.11;40.8
PISY;CD70;70;0.39;38.79;242.97;46.4
